pcode,level,parent_pcode,name,center_lat,center_lon
GN001,1,,Boke,11.255351,-14.31235627
GN002,1,,Conakry,9.62617753,-13.5506364
GN003,1,,Faranah,10.517157,-10.97991847
GN004,1,,Kankan,10.628835,-9.37839539
GN005,1,,Kindia,10.21398,-13.01664021
GN006,1,,Labe,11.7161095,-11.94233138
GN007,1,,Mamou,10.60394,-12.00802072
GN008,1,,Nzerekore,8.3913863,-8.89007009
GN008001,2,GN008,Beyla,8.906216,-8.3726815
GN001001,2,GN001,Boffa,10.35217953,-14.16354664
GN001002,2,GN001,Boke,11.07206523,-14.35699371
GN002001,2,GN002,Conakry,9.62617753,-13.5506364
GN005001,2,GN005,Coyah,9.75367,-13.30949127
GN003001,2,GN003,Dabola,10.7737685,-11.07591478
GN007001,2,GN007,Dalaba,10.8916275,-12.06379213
GN003002,2,GN003,Dinguiraye,11.5675295,-10.72471049
GN005002,2,GN005,Dubreka,10.1272,-13.53865053
GN003003,2,GN003,Faranah,9.822694,-10.71933763
GN005003,2,GN005,Forecariah,9.382675,-13.09168244
GN001005,2,GN001,Fria,10.53498,-13.53809074
GN001003,2,GN001,Gaoual,11.69175592,-13.28415454
GN008002,2,GN008,Gueckedou,8.695675,-10.21049909
GN004001,2,GN004,Kankan,10.2247945,-9.22334506
GN004002,2,GN004,Kerouane,9.3484655,-9.11107209
GN005004,2,GN005,Kindia,10.108515,-12.66907932
GN003004,2,GN003,Kissidougou,9.255392,-10.03566488
GN006001,2,GN006,Koubia,11.7695215,-11.84442735
GN001004,2,GN001,Koundara,12.33778117,-13.13591352
GN004003,2,GN004,Kouroussa,10.486482,-9.89078629
GN006002,2,GN006,Labe,11.4071125,-12.29792273
GN006003,2,GN006,Lelouma,11.51764,-12.6112194
GN008003,2,GN008,Lola,8.01520279,-8.30612571
GN008004,2,GN008,Macenta,8.3190686,-9.21445825
GN006004,2,GN006,Mali,12.049021,-12.25678119
GN007002,2,GN007,Mamou,10.5694755,-11.90422813
GN004004,2,GN004,Mandiana,10.814665,-8.69727761
GN008005,2,GN008,Nzerekore,7.8909155,-8.88046955
GN007003,2,GN007,Pita,10.904748,-12.66236894
GN004005,2,GN004,Siguiri,11.67705177,-9.55008428
GN005005,2,GN005,Telimele,10.887695,-13.40783252
GN006005,2,GN006,Tougue,11.5117755,-11.49396656
GN008006,2,GN008,Yomou,7.5370935,-9.12111941
GN00600213,3,GN006002,Tountourou,11.427357,-12.28938773
GN00800414,3,GN008004,Vasseredou,8.6982555,-9.23169214
GN00800415,3,GN008004,Watanka,8.76521,-9.82307565
GN00100308,3,GN001003,Wendou Mbour,11.521775,-13.80095641
GN00800510,3,GN008005,Womey,8.1536415,-8.65123009
GN00500104,3,GN005001,Wonkifong,9.663365,-13.3155758
GN00800511,3,GN008005,Yalenzou,7.7654855,-8.66882651
GN00300412,3,GN003004,Yende Millimou,8.966151,-10.18651109
GN00600413,3,GN006004,Yimbering,11.7746455,-12.37032186
GN00300413,3,GN003004,Yombiro,9.096128,-10.35450029
GN00500208,3,GN005002,Tanene,10.12035,-13.79486659
GN00100210,3,GN001002,Tanene,11.055675,-14.24545695
GN00500513,3,GN005005,Telemele Ctre,10.87067,-13.08589617
GN00500501,3,GN005005,Bourouwal,11.094375,-12.90171288
GN00500502,3,GN005005,Daramagnaky,10.857175,-13.779667
GN00500503,3,GN005005,Gougoudje,10.872135,-12.97003483
GN00500504,3,GN005005,Koba,11.198715,-13.35904608
GN00500505,3,GN005005,Kollet,10.510375,-13.09198785
GN00500506,3,GN005005,Konsotami,10.8567325,-13.52293865
GN00600104,3,GN006001,Matakaou,11.751796,-11.98818476
GN00500507,3,GN005005,Missira,11.181425,-13.60133472
GN00500508,3,GN005005,Santou,11.0783315,-13.11101672
GN00500510,3,GN005005,Sinta,10.636525,-13.01994177
GN00500511,3,GN005005,Sogolon,10.584655,-13.29186029
GN00500514,3,GN005005,Thionthian,10.78515,-13.28643963
GN00500306,3,GN005003,Kakossa,9.48705707,-13.46230525
GN00100201,3,GN001002,Bintimodia,10.6150215,-14.38271399
GN00300402,3,GN003004,Banama,9.0482855,-9.75960956
GN00500101,3,GN005001,Coyah Ctre,9.734185,-13.38519608
GN00400201,3,GN004002,Banankoro,9.192396,-9.13382478
GN00500301,3,GN005003,Allassoyah,9.49751,-13.08490331
GN00300101,3,GN003001,Arfamoussayah,10.835104,-11.2807263
GN00400301,3,GN004003,Babila,10.636691,-9.72021696
GN00500201,3,GN005002,Badi,10.27729,-13.49058598
GN00800607,3,GN008006,Yomou Ctre,7.580517,-9.30502955
GN00100501,3,GN001005,Baguinet,10.5635435,-13.47004683
GN00400303,3,GN004003,Banfele,10.2041885,-9.94906299
GN00600301,3,GN006003,Balaya,11.4420545,-12.78906952
GN00800401,3,GN008004,Balizia,8.621802,-9.58742764
GN00800402,3,GN008004,Binikala,8.7842235,-9.52370445
GN00300401,3,GN003004,Albadariah,9.5543935,-10.04307898
GN00600401,3,GN006004,Balaki,12.1999345,-11.7900927
GN00400101,3,GN004001,Balandougou,10.503341,-9.06059509
GN00400401,3,GN004004,Balandougouba,11.3434565,-8.5734207
GN00400302,3,GN004003,Balato,10.7331395,-9.53831702
GN00500401,3,GN005004,Bangouya,10.377305,-12.94460417
GN00100502,3,GN001005,Banguigny,10.6802615,-13.54246429
GN00800601,3,GN008006,Banie,7.46766,-9.37758962
GN00300102,3,GN003001,Banko,10.6549845,-10.62780978
GN00400501,3,GN004005,Bankon,11.5462765,-8.87176624
GN00400102,3,GN004001,Bate Nafadji,10.8414655,-9.24079432
GN00100407,3,GN001004,Youkounkoun,12.415565,-13.10458372
GN00300201,3,GN003002,Banora,11.7822085,-10.39323371
GN00700301,3,GN007003,Bantignel,11.095898,-12.29221025
GN00100202,3,GN001002,Boke Ctre,10.89993,-14.27191193
GN00300403,3,GN003004,Bardou,9.034879,-9.85568323
GN00400304,3,GN004003,Baro,10.441382,-9.72440163
GN00300404,3,GN003004,Beindou,9.089934,-10.00903105
GN00300302,3,GN003003,Beindou,10.311635,-10.36930369
GN00500302,3,GN005003,Benty,9.12243938,-13.15750826
GN00800101,3,GN008001,Beyla Ctre,8.684313,-8.66774651
GN00800602,3,GN008006,Bheeta,7.44141,-9.23530101
GN00800603,3,GN008006,Bignamou,7.34518444,-9.12252278
GN00300103,3,GN003001,Bissikrima,10.949922,-10.9051401
GN00700101,3,GN007001,Bodie,11.0412875,-12.02851585
GN00100101,3,GN001001,Boffa Ctre,10.19410822,-14.12869492
GN00800403,3,GN008004,Bofossou,8.6727585,-9.71704394
GN00800201,3,GN008002,Bolodou,8.821058,-10.32882649
GN00800102,3,GN008001,Boola,8.405001,-8.70548235
GN00800301,3,GN008003,Bossou,7.645942,-8.48762612
GN00400103,3,GN004001,Boula,9.80538,-8.39814866
GN00500402,3,GN005004,Damakania,10.033235,-12.95934069
GN00700201,3,GN007002,Bouliwel,10.6116575,-12.20343164
GN00600205,3,GN006002,Garambe,11.2857505,-12.34417518
GN00800501,3,GN008005,Bounouma,7.56174428,-8.79347959
GN00800604,3,GN008006,Bowe,7.7769075,-9.18605535
GN00700302,3,GN007003,Brouwal Tape,10.991575,-12.40437807
GN00400202,3,GN004002,Damaro,9.0958585,-8.82013116
GN00600202,3,GN006002,Daralabe,11.232343,-12.32614894
GN00300105,3,GN003001,Dogomet,10.779574,-11.39640616
GN00400305,3,GN004003,Cissela,10.949922,-10.66250964
GN00100203,3,GN001002,Dabiss,11.341495,-14.28149643
GN00300104,3,GN003001,Dabola Ctre,10.7902275,-11.08670881
GN00700102,3,GN007001,Dalaba Ctre,10.7114575,-12.28269875
GN00600201,3,GN006002,Dalein,11.555075,-12.2881769
GN00800404,3,GN008004,Daro,8.48440062,-9.56672579
GN00300202,3,GN003002,Dialakoro,11.0148185,-11.0612917
GN00400402,3,GN004004,Dialokoro,11.3840145,-8.79697734
GN00600203,3,GN006002,Diari,11.368872,-12.52271568
GN00800104,3,GN008001,Diassodou,9.14974,-8.35184268
GN00300203,3,GN003002,Diatifere,11.793689,-10.71354703
GN00800605,3,GN008006,Diecke,7.3822205,-8.93494895
GN00300204,3,GN003002,Dinguiraye Ctre,11.3616305,-10.60666152
GN00600204,3,GN006002,Dionfo,11.3350515,-12.07332649
GN00600302,3,GN006003,Diontou,11.494926,-12.51593626
GN00700103,3,GN007001,Ditinn,10.885251,-12.13962798
GN00400502,3,GN004005,Doko,11.7668755,-8.97616305
GN00600402,3,GN006004,Donghol Sigon,11.7898675,-12.18000845
GN00700303,3,GN007003,Donghol Touma,10.969907,-12.68793386
GN00400306,3,GN004003,Douako,9.8044965,-10.07026962
GN00600403,3,GN006004,Dougountouny,11.84957,-12.5448741
GN00700202,3,GN007002,Dounet,10.5138125,-11.94895821
GN00100102,3,GN001001,Douprou,10.23642021,-14.36616538
GN00400307,3,GN004003,Doura,10.87277,-9.67264733
GN00500202,3,GN005002,Dubreka Ctre,9.81365,-13.47489647
GN00600101,3,GN006001,Fafaya,11.7870385,-11.73105701
GN00500203,3,GN005002,Falessade,10.1012,-13.29039016
GN00400104,3,GN004001,Gberedou Baranama,10.439394,-9.54128689
GN00800202,3,GN008002,Fangamadou,8.44308791,-10.58844576
GN00400403,3,GN004004,Faralako,10.663028,-8.50830367
GN00300303,3,GN003003,Faranah Ctre,10.056966,-10.72676297
GN00500303,3,GN005003,Farmoriah,9.26118804,-13.09412826
GN00800405,3,GN008004,Fassankoni,8.061556,-9.31316519
GN00600501,3,GN006005,Fatako,11.220833,-11.88374242
GN00600405,3,GN006004,Gayah,11.968262,-12.41275038
GN00600502,3,GN006005,Fello Koundoua,11.8792255,-11.26136059
GN00300405,3,GN003004,Fermessadou,9.140679,-10.18941565
GN00300406,3,GN003004,Firawa,9.240351,-9.83670723
GN00500304,3,GN005003,Forecariah Ctre,9.4254325,-13.09106245
GN00800105,3,GN008001,Fouala,8.974077,-8.33536708
GN00600404,3,GN006004,Fougou,11.8964955,-12.33595818
GN00800106,3,GN008001,Gbakedou,8.731124,-8.34671231
GN00300407,3,GN003004,Gbangbadou,9.303067,-9.99337074
GN00100301,3,GN001003,Foulamory,12.14682809,-13.64810512
GN00800302,3,GN008003,Foumbadou,8.29128319,-8.35533012
GN00400503,3,GN004005,Franwalia,11.7954795,-9.44271145
GN00100503,3,GN001005,Fria Ctre,10.40743,-13.58385788
GN00500403,3,GN005004,Friguiagbe,9.83633,-12.96060984
GN00600102,3,GN006001,Gadha Woundou,11.9979095,-11.51908405
GN00300205,3,GN003002,Gagnakaly,11.7963575,-10.97980233
GN00800303,3,GN008003,Gama Berema,7.8938155,-8.2639945
GN00100302,3,GN001003,Gaoual Ctre,11.7525945,-13.21661481
GN00800107,3,GN008001,Gbessoba,8.685547,-7.98350794
GN00300304,3,GN003003,Gnaleah,9.9521975,-10.51024065
GN00700304,3,GN007003,Gongoret,10.730291,-12.5054374
GN00700203,3,GN007002,Gongoret,10.7706395,-11.95238492
GN00800502,3,GN008005,Gouecke,7.98741,-8.77749861
GN00300305,3,GN003003,Heremakono,9.925286,-10.94166358
GN00800304,3,GN008003,Gueasso,8.09621555,-8.17949518
GN00800203,3,GN008002,Gueckedou Ctre,8.5817435,-10.11238424
GN00800204,3,GN008002,Guendembou,8.7942335,-10.02917155
GN00100401,3,GN001004,Guinguan,12.2695555,-12.97771271
GN00600206,3,GN006002,Hafia,11.217137,-12.43267122
GN00600303,3,GN006003,Herico,11.193228,-12.87423074
GN00600406,3,GN006004,Hidayatou,11.9980875,-12.12605829
GN00700104,3,GN007001,Kaala,10.8181175,-12.16862702
GN00600207,3,GN006002,Kaalan,11.323476,-12.1671839
GN00500305,3,GN005003,Kaback,9.34288825,-13.36812243
GN00100303,3,GN001003,Kakony,11.3794505,-13.11686392
GN00300106,3,GN003001,Kankama,10.9252785,-11.05811204
GN00400105,3,GN004001,Kankan Ctre,10.3714135,-9.2682217
GN00500307,3,GN005003,Kaliah,9.31295477,-13.19260049
GN00300206,3,GN003002,Kalinko,11.2514775,-11.18506281
GN00100402,3,GN001004,Kamabi,12.262521,-13.27283793
GN00100204,3,GN001002,Kamsar,10.63394248,-14.54466747
GN00700105,3,GN007001,Kankalabe,11.1289865,-12.04060156
GN00600503,3,GN006005,Kansangui,11.201946,-11.57850222
GN00400404,3,GN004004,Kantoumanina,10.4126655,-8.73128711
GN00800108,3,GN008001,Karala,9.4086815,-8.38639782
GN00400106,3,GN004001,Karifamoriah,10.529429,-9.34592603
GN00800205,3,GN008002,Kassadou,8.92946018,-10.44642847
GN00700106,3,GN007001,Kebali,11.0011785,-12.23624231
GN00700204,3,GN007002,Kegneko,10.409352,-11.64363677
GN00400203,3,GN004002,Kerouane Ctre,9.361473,-9.0485211
GN00500204,3,GN005002,Khorira,9.9584075,-13.49638529
GN00500404,3,GN005004,Kindia Ctre,9.98855,-12.76699383
GN00800305,3,GN008003,Kokota,7.9135155,-8.47315238
GN00300107,3,GN003001,Kindoye,10.5151445,-11.34010651
GN00400504,3,GN004005,Kiniebakoura,11.235558,-9.18651378
GN00400405,3,GN004004,Kinieran,11.127762,-8.86049703
GN00400308,3,GN004003,Kiniero,10.429786,-9.95697154
GN00800503,3,GN008005,Kobela,7.913657,-9.06966611
GN00100206,3,GN001002,Kolaboui,10.79333,-14.39925859
GN00600505,3,GN006005,Kolangui,11.0923375,-11.76855322
GN00400505,3,GN004005,Kintinian,11.546447,-9.60304524
GN00300408,3,GN003004,Kissidougou Ctre,9.244837,-10.13319434
GN00700107,3,GN007001,Koba,10.611855,-12.38543159
GN00100103,3,GN001001,Koba Tatema,9.97276497,-13.85006911
GN00300306,3,GN003003,Kobikoro,9.1687305,-10.58049848
GN00600504,3,GN006005,Koin,11.2313675,-11.71042651
GN00500405,3,GN005004,Kolente,10.148945,-12.70901368
GN00100104,3,GN001001,Kolia,10.583655,-14.03096213
GN00600506,3,GN006005,Kolet,11.442751,-11.37768403
GN00400204,3,GN004002,Komodou,9.694615,-8.99695297
GN00400205,3,GN004002,Konsankoro,8.951755,-8.88192088
GN00600304,3,GN006003,Korbe,11.492182,-12.61233043
GN00400309,3,GN004003,Komola Khoura,11.1595185,-10.29929393
GN00600507,3,GN006005,Konah,11.5128745,-11.7987754
GN00300409,3,GN003004,Kondiadou,8.9027805,-9.89373691
GN00300108,3,GN003001,Konendou,10.632403,-10.84396787
GN00600209,3,GN006002,Labe Ctre,11.3188295,-12.29841596
GN00800504,3,GN008005,Koropara,8.245445,-8.69750377
GN00800406,3,GN008004,Kouankan,8.5105025,-9.02454512
GN00600103,3,GN006001,Koubia Ctre,11.649008,-11.8598239
GN00800505,3,GN008005,Koule,8.0388665,-9.0025078
GN00400310,3,GN004003,Koumana,10.760813,-9.74134673
GN00600305,3,GN006003,Lafou,11.6189705,-12.4439785
GN00800306,3,GN008003,Laine,8.03799,-8.44037059
GN00800109,3,GN008001,Koumandou,9.209396,-7.97515556
GN00800206,3,GN008002,Koundou,8.6328665,-10.41037063
GN00400107,3,GN004001,Koumban,10.2355215,-9.53207799
GN00300207,3,GN003002,Lansanaya,11.386677,-10.94441224
GN00600407,3,GN006004,Lebekeren,12.2265545,-12.33972507
GN00100304,3,GN001003,Koumbia,11.70740593,-13.47032031
GN00100403,3,GN001004,Koundara Ctre,12.4863725,-13.26979173
GN00400406,3,GN004004,Koundian,10.837908,-8.96999203
GN00400407,3,GN004004,Koundianakoro,11.1791645,-8.67068234
GN00500103,3,GN005001,Maneah,9.70672,-13.44905226
GN00700205,3,GN007002,Kounkoure,10.3777965,-12.30757759
GN00600306,3,GN006003,Lelouma Ctre,11.453503,-12.6810266
GN00700305,3,GN007003,Ley Miro,10.9175605,-12.8531504
GN00100305,3,GN001003,Kounsitel,11.884295,-12.97198392
GN00600208,3,GN006002,Kouramangui,11.573033,-12.37576239
GN00600508,3,GN006005,Kouratongo,11.700836,-11.37361161
GN00500102,3,GN005001,Kouria,9.841915,-13.32753742
GN00400311,3,GN004003,Kouroussa Ctre,10.6608085,-9.8698196
GN00800407,3,GN008004,Koyamah,7.861399,-9.32070904
GN00300307,3,GN003003,Marella,10.20219,-11.32305547
GN00400206,3,GN004002,Linko,9.4668335,-8.74790104
GN00600307,3,GN006003,Linsan Saran,11.789976,-12.68954364
GN00100105,3,GN001001,Lisso,10.43689,-13.84990222
GN00800307,3,GN008003,Lola Ctre,7.786557,-8.4753361
GN00800408,3,GN008004,Macenta Ctre,8.53933,-9.46698557
GN00700306,3,GN007003,Maci,10.844699,-12.56851143
GN00300410,3,GN003004,Manfran,9.4064,-9.79858382
GN00500406,3,GN005004,Madina Oula,9.912505,-12.47577739
GN00600408,3,GN006004,Madina Wora,12.025814,-12.58763851
GN00700108,3,GN007001,Mafara,10.9397885,-11.89720742
GN00500308,3,GN005003,Maferinya,9.45762542,-13.30761511
GN00100306,3,GN001003,Malanta,11.576967,-12.79393368
GN00600308,3,GN006003,Manda,11.6746385,-12.62670569
GN00100207,3,GN001002,Malapouya,10.706615,-14.21121291
GN00100106,3,GN001001,Mankountan,10.507515,-14.43433437
GN00400506,3,GN004005,Malea,11.666123,-9.7680294
GN00600409,3,GN006004,Mali Ctre,12.0630045,-12.2319431
GN00500407,3,GN005004,Mambia,9.77402,-13.10932365
GN00700206,3,GN007002,Mamou Ctre,10.3923195,-12.12178323
GN00400108,3,GN004001,Mamouroudou,9.5910165,-9.35917224
GN00400408,3,GN004004,Mandiana Ctre,10.60734,-8.79469596
GN00400109,3,GN004001,Missamana,10.225146,-8.91171492
